1,Pantitlán,1,19.415300000000,-99.072100000000,"2,88,144,165",
2,Zaragoza,1,19.412300000000,-99.082400000000,"1,3",
3,Gómez Farías,1,19.416400000000,-99.090300000000,"2,4",
4,Boulevard Puerto Aéreo,1,19.419600000000,-99.095900000000,"3,5",
5,Balbuena,1,19.423000000000,-99.102800000000,"4,6",
6,Moctezuma,1,19.427200000000,-99.110300000000,"5,7",
7,San Lázaro,1,19.430200000000,-99.114800000000,"6,8,181",
8,Candelaria,1,19.428800000000,-99.119500000000,"7,9,72",
9,Merced,1,19.425500000000,-99.124600000000,"8,10",
10,Pino Suárez,1,19.425300000000,-99.132900000000,"9,11,34",
11,Isabel La Católica,1,19.426700000000,-99.137600000000,"10,12",
12,Salto del Agua,1,19.426800000000,-99.142200000000,"11,13,117",
13,Balderas,1,19.427400000000,-99.149000000000,"12,14,53",
14,Cuauhtémoc,1,19.425800000000,-99.154700000000,"13,15",
15,Insurgentes,1,19.423200000000,-99.163100000000,"14,16",
16,Sevilla,1,19.423700000000,-99.170800000000,"15,17",
17,Chapultepec,1,19.420700000000,-99.177200000000,"16,18",
18,Juanacatlán,1,19.412800000000,-99.182100000000,"17,19",
19,Tacubaya,1,19.403400000000,-99.187100000000,"18,20,133",
20,Observatorio,1,19.398200000000,-99.200300000000,19,
21,Cuatro Caminos,2,19.459600000000,-99.216000000000,22,
22,Panteones,2,19.458770000000,-99.202900000000,"21,23",
23,Tacuba,2,19.459330000000,-99.187600000000,"22,24,104",
24,Cuitláhuac,2,19.457240000000,-99.181600000000,"23,25",
25,Popotla,2,19.452860000000,-99.175500000000,"24,26",
26,Colegio Militar,2,19.449170000000,-99.171900000000,"25,27",
27,Normal,2,19.444670000000,-99.167400000000,"26,28",
28,San Cosme,2,19.441920000000,-99.160800000000,"27,29",
29,Revolución,2,19.439240000000,-99.154300000000,"28,30",
30,Hidalgo,2,19.437510000000,-99.147200000000,"29,31,51",
31,Bellas Artes,2,19.435890000000,-99.141900000000,"30,32,115",
32,Allende,2,19.435530000000,-99.136900000000,"31,33",
33,Zócalo,2,19.432470000000,-99.132310000000,"32,34",
34,Pino Suárez,2,19.425920000000,-99.133100000000,"33,35,10",
35,San Antonio Abad,2,19.415810000000,-99.134700000000,"34,36",
36,Chabacano,2,19.409150000000,-99.135600000000,"35,37",
37,Viaducto,2,19.400930000000,-99.136900000000,"36,38",
38,Xola,2,19.395240000000,-99.137900000000,"37,39",
39,Villa De Cortes,2,19.387640000000,-99.139200000000,"38,40",
40,Nativitas,2,19.379500000000,-99.140000000000,"39,41",
41,Portales,2,19.369850000000,-99.141600000000,"40,42",
42,Ermita,2,19.361140000000,-99.143000000000,"41,43,151",
43,General Anaya,2,19.353440000000,-99.145100000000,"42,44",
44,Tasqueña,2,19.343740000000,-99.140500000000,43,
45,Indios Verdes,3,19.495200000000,-99.119600000000,46,
46,Deportivo 18 De Marzo,3,19.485100000000,-99.125500000000,"45,47,97",
47,Potrero,3,19.476900000000,-99.132200000000,"46,48",
48,La Raza,3,19.465900000000,-99.145300000000,"47,49,79",
49,Tlatelolco,3,19.455000000000,-99.142800000000,"48,50",
50,Guerrero,3,19.445100000000,-99.145400000000,"49,51,176",
51,Hidalgo,3,19.437500000000,-99.147200000000,"50,52,30",
52,Juárez,3,19.433200000000,-99.147800000000,"51,53",
53,Balderas,3,19.427400000000,-99.179000000000,"52,54,13",
54,Niños Héroes,3,19.419500000000,-99.150600000000,"53,55",
55,Hospital General,3,19.413700000000,-99.153200000000,"54,56",
56,Centro Medico,3,19.406600000000,-99.155200000000,"55,57,136",
57,Etiopía/Plaza De La Transparencia,3,19.395600000000,-99.156200000000,"56,58",
58,Eugenia,3,19.386100000000,-99.157100000000,"57,59",
59,División del Norte,3,19.380000000000,-99.158900000000,"58,60",
60,Zapata,3,19.371400000000,-99.164200000000,"59,61,148",
61,Coyoacán,3,19.361400000000,-99.170800000000,"60,62",
62,Viveros/ Derechos Humanos,3,19.353700000000,-99.176100000000,"61,63",
63,Miguel Ángel,3,19.346400000000,-99.181000000000,"62,64",
64,Copilco,3,19.335900000000,-99.176700000000,"63,65",
65,Universidad,3,19.324400000000,-99.173900000000,64,
66,Martín Carrera,4,19.484920000000,-99.104400000000,"67,99",
67,Talismán,4,19.474280000000,-99.108000000000,"66,68",
68,Bondojito,4,19.464610000000,-99.112000000000,"67,69",
69,Consulado,4,19.457890000000,-99.113900000000,"68,70,82",
70,Canal del Norte,4,19.449110000000,-99.116500000000,"69,71",
71,Morelos,4,19.438970000000,-99.118300000000,"70,72,180",
72,Candelaria,4,19.428840000000,-99.119500000000,"71,73,8",
73,Fray Servando,4,19.421630000000,-99.120500000000,"72,74",
74,Jamaica,4,19.409000000000,-99.122200000000,"73,75,139",
75,Santa Anita,4,19.402730000000,-99.121700000000,"74,122",
76,Politécnico,5,19.500920000000,-99.149200000000,77,
77,Instituto del Petróleo,5,19.491610000000,-99.148200000000,"76,78,95",
78,Autobuses Norte,5,19.479380000000,-99.140100000000,"77,79",
79,La Raza,5,19.469790000000,-99.136500000000,"78,80,48",
80,Misterios,5,19.463400000000,-99.130400000000,"79,81",
81,Valle Gómez,5,19.459090000000,-99.119500000000,"80,82",
82,Consulado,5,19.455340000000,-99.113400000000,"81,83,69",
83,Eduardo Molina,5,19.451650000000,-99.105400000000,"82,84",
84,Aragón,5,19.451370000000,-99.096300000000,"83,85",
85,Oceanía,5,19.444720000000,-99.086700000000,"84,86,184",
86,Terminal Aérea,5,19.434090000000,-99.088000000000,"85,87",
